('Landslide Hot Chocolate', 'Hot Beverages', 'Beverages')
('Horatio Grape Fruit Roll', 'Snack Foods', 'Snack Foods')
('Ebony Fancy Plums', 'Fruit', 'Produce')
('Horatio Golden Raisins', 'Snack Foods', 'Snack Foods')
('Nationeel Corn Chips', 'Snack Foods', 'Snack Foods')
('Carrington Low Fat French Fries', 'Vegetables', 'Frozen Foods')
('Club Head Cheese', 'Dairy', 'Dairy')
('Tell Tale Lettuce', 'Vegetables', 'Produce')
('BBB Best Vegetable Oil', 'Baking Goods', 'Baking Goods')
('High Quality D-Size Batteries', 'Electrical', 'Household')
('Cormorant 25 Watt Lightbulb', 'Electrical', 'Household')
('Red Wing Plastic Knives', 'Plastic Products', 'Household')
('PigTail Frozen Peas', 'Vegetables', 'Frozen Foods')
('Golden Chicken TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('CDR Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Tri-State Tangerines', 'Fruit', 'Produce')
('Red Spade Low Fat Cole Slaw', 'Side Dishes', 'Deli')
('Token Cola', 'Carbonated Beverages', 'Beverages')
('Super Grape Jelly', 'Jams and Jellies', 'Baking Goods')
('Super Apple Preserves', 'Jams and Jellies', 'Baking Goods')
('Red Wing Copper Cleaner', 'Kitchen Products', 'Household')
('Choice Spicy Mints', 'Candy', 'Snacks')
('Nationeel Dried Apricots', 'Snack Foods', 'Snack Foods')
('Better Fancy Canned Oysters', 'Canned Oysters', 'Canned Foods')
('American Pimento Loaf', 'Meat', 'Deli')
('Faux Products Angled Toothbrush', 'Bathroom Products', 'Health and Hygiene')
('Moms Sliced Chicken', 'Meat', 'Deli')
('Red Wing Economy Toilet Brush', 'Bathroom Products', 'Household')
('High Top Peaches', 'Fruit', 'Produce')
('Golden Frozen Mushroom Pizza', 'Pizza', 'Frozen Foods')
('Nationeel Potato Chips', 'Snack Foods', 'Snack Foods')
('Pleasant Canned Beets', 'Vegetables', 'Canned Foods')
('Tri-State Party Nuts', 'Specialty', 'Produce')
('Swell Canned Mixed Fruit', 'Fruit', 'Canned Products')
('Carlson Whole Milk', 'Dairy', 'Dairy Drink')
('Gorilla Mild Cheddar Cheese', 'Dairy', 'Dairy')
('Super Creamy Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('High Quality 60 Watt Lightbulb', 'Electrical', 'Household')
('Modell White Bread', 'Bread', 'Baked Goods')
('Best Choice Fudge Cookies', 'Snack Foods', 'Snack Foods')
('Cormorant Bees Wax Candles', 'Candles', 'Household')
('Bravo Beef Soup', 'Canned Soup', 'Canned Foods')
('BBB Best Pepper', 'Baking Goods', 'Baking Goods')
('Red Wing AAA-Size Batteries', 'Electrical', 'Household')
('Lake Potato Salad', 'Side Dishes', 'Deli')
('Bird Call Extra Moisture Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Golden Frozen Chicken Thighs', 'Meat', 'Frozen Foods')
('Landslide Extra Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Hermanos Prepared Salad', 'Vegetables', 'Produce')
('Booker Head Cheese', 'Dairy', 'Dairy')
('Thresher Tasty Candy Bar', 'Candy', 'Snacks')
('Robust Monthly Sports Magazine', 'Magazines', 'Periodicals')
('High Quality Copper Pot Scrubber', 'Kitchen Products', 'Household')
('National Large Eggs', 'Eggs', 'Eggs')
('Tri-State Mandarin Oranges', 'Fruit', 'Produce')
('CDR White Sugar', 'Baking Goods', 'Baking Goods')
('Choice White Chocolate Bar', 'Candy', 'Snacks')
('Golden Ice Cream Sandwich', 'Frozen Desserts', 'Frozen Foods')
('Horatio Dried Apricots', 'Snack Foods', 'Snack Foods')
('American Sliced Ham', 'Meat', 'Deli')
('Red Wing 100 Watt Lightbulb', 'Electrical', 'Household')
('Token Mango Drink', 'Drinks', 'Beverages')
('Radius Corn Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Tell Tale Party Nuts', 'Specialty', 'Produce')
('Applause Canned Peaches', 'Fruit', 'Canned Products')
('Tri-State Broccoli', 'Vegetables', 'Produce')
('Sphinx Muffins', 'Bread', 'Baked Goods')
('Better Canned Tuna in Oil', 'Canned Tuna', 'Canned Foods')
('Fast Sesame Crackers', 'Snack Foods', 'Snack Foods')
('Gulf Coast Bubble Gum', 'Candy', 'Snacks')
('Monarch Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Sunset Bees Wax Candles', 'Candles', 'Household')
('Landslide White Sugar', 'Baking Goods', 'Baking Goods')
('Mighty Good Monthly Home Magazine', 'Magazines', 'Periodicals')
('Token Cranberry Juice', 'Pure Juice Beverages', 'Beverages')
('Best Choice Fondue Mix', 'Snack Foods', 'Snack Foods')
('Musial Tasty Candy Bar', 'Candy', 'Snacks')
('Hermanos Potatos', 'Vegetables', 'Produce')
('Hermanos Firm Tofu', 'Packaged Vegetables', 'Produce')
('Plato Strawberry Jelly', 'Jams and Jellies', 'Baking Goods')
('High Top Potatos', 'Vegetables', 'Produce')
('Tri-State Limes', 'Fruit', 'Produce')
('Tell Tale Broccoli', 'Vegetables', 'Produce')
('Modell Pumpernickel Bread', 'Bread', 'Baked Goods')
('Hermanos Fuji Apples', 'Fruit', 'Produce')
('Nationeel Low Fat BBQ Chips', 'Snack Foods', 'Snack Foods')
('Pleasant Chicken Ramen Soup', 'Canned Soup', 'Canned Foods')
('Big Time Frozen Chicken Thighs', 'Meat', 'Frozen Foods')
('Pearl Chardonnay Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Ebony Asparagus', 'Vegetables', 'Produce')
('Big Time Lemon Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Steady Apricot Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Ebony Peaches', 'Fruit', 'Produce')
('Radius Oatmeal', 'Breakfast Foods', 'Breakfast Foods')
('High Top Summer Squash', 'Vegetables', 'Produce')
('Super Hot Chocolate', 'Hot Beverages', 'Beverages')
('Super Strawberry Preserves', 'Jams and Jellies', 'Baking Goods')
('Even Better Low Fat Cottage Cheese', 'Dairy', 'Dairy')
('Fabulous Diet Soda', 'Carbonated Beverages', 'Beverages')
('Even Better Sharp Cheddar Cheese', 'Dairy', 'Dairy')
('Jardon Ravioli', 'Starchy Foods', 'Starchy Foods')
('Moms Sliced Turkey', 'Meat', 'Deli')
('Blue Label Canned Tomatos', 'Vegetables', 'Canned Foods')
('Denny Plastic Spoons', 'Plastic Products', 'Household')
('Moms Chicken Hot Dogs', 'Meat', 'Deli')
('Ebony Mandarin Oranges', 'Fruit', 'Produce')
('Bird Call Multi-Symptom Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Colony Rye Bread', 'Bread', 'Baked Goods')
('Nationeel Cheese Crackers', 'Snack Foods', 'Snack Foods')
('Super Regular Coffee', 'Hot Beverages', 'Beverages')
('BBB Best Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Golden Blueberry Waffles', 'Breakfast Foods', 'Frozen Foods')
('Hermanos Fancy Plums', 'Fruit', 'Produce')
('Tri-State Macintosh Apples', 'Fruit', 'Produce')
('Bravo Rice Soup', 'Canned Soup', 'Canned Foods')
('Walrus Chardonnay', 'Beer and Wine', 'Alcoholic Beverages')
('Hermanos Elephant Garlic', 'Vegetables', 'Produce')
('Hilltop Mint Mouthwash', 'Bathroom Products', 'Health and Hygiene')
('Lake Sliced Turkey', 'Meat', 'Deli')
('Carrington Chicken TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Nationeel Low Fat Popcorn', 'Snack Foods', 'Snack Foods')
('High Top New Potatos', 'Vegetables', 'Produce')
('High Top Cantelope', 'Fruit', 'Produce')
('Urban Large Brown Eggs', 'Eggs', 'Eggs')
('ADJ Rosy Sunglasses', 'Specialty', 'Carousel')
('Blue Label Canned Tuna in Oil', 'Canned Tuna', 'Canned Foods')
('Club String Cheese', 'Dairy', 'Dairy')
('Landslide Salt', 'Baking Goods', 'Baking Goods')
('Gorilla Blueberry Yogurt', 'Dairy', 'Dairy')
('Booker String Cheese', 'Dairy', 'Dairy')
('Club Buttermilk', 'Dairy', 'Dairy Drink')
('Carrington Apple Cinnamon Waffles', 'Breakfast Foods', 'Frozen Foods')
('Discover Ravioli', 'Starchy Foods', 'Starchy Foods')
('Cutting Edge Low Fat Bologna', 'Meat', 'Deli')
('Sunset Plastic Forks', 'Plastic Products', 'Household')
('PigTail Frozen Cheese Pizza', 'Pizza', 'Frozen Foods')
('Blue Label Chicken Ramen Soup', 'Canned Soup', 'Canned Foods')
('Token Diet Cola', 'Carbonated Beverages', 'Beverages')
('Cormorant Room Freshener', 'Cleaning Supplies', 'Household')
('Fort West Apple Fruit Roll', 'Snack Foods', 'Snack Foods')
('Tell Tale Fuji Apples', 'Fruit', 'Produce')
('Applause Canned Mixed Fruit', 'Fruit', 'Canned Products')
('Sphinx English Muffins', 'Bread', 'Baked Goods')
('Denny Copper Pot Scrubber', 'Kitchen Products', 'Household')
('High Top Firm Tofu', 'Packaged Vegetables', 'Produce')
('Big Time Frozen Cheese Pizza', 'Pizza', 'Frozen Foods')
('Pleasant Creamed Corn', 'Vegetables', 'Canned Foods')
('Horatio Sesame Crackers', 'Snack Foods', 'Snack Foods')
('Red Wing Paper Plates', 'Paper Products', 'Household')
('Fast Frosted Cookies', 'Snack Foods', 'Snack Foods')
('Imagine Fajita French Fries', 'Vegetables', 'Frozen Foods')
('Jeffers Oatmeal', 'Breakfast Foods', 'Breakfast Foods')
('Ebony Elephant Garlic', 'Vegetables', 'Produce')
('Ebony Beets', 'Vegetables', 'Produce')
('Sunset Tissues', 'Paper Products', 'Household')
('Bravo Noodle Soup', 'Canned Soup', 'Canned Foods')
('Bird Call Childrens Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Tri-State Cauliflower', 'Vegetables', 'Produce')
('Hermanos Corn on the Cob', 'Vegetables', 'Produce')
('Bird Call Dishwasher Detergent', 'Decongestants', 'Health and Hygiene')
('Blue Label Creamed Corn', 'Vegetables', 'Canned Foods')
('Best Choice Raisins', 'Snack Foods', 'Snack Foods')
('Horatio Cheese Dip', 'Snack Foods', 'Snack Foods')
('Landslide Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Better Canned Tuna in Water', 'Canned Tuna', 'Canned Foods')
('Carrington Beef TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('CDR Sesame Oil', 'Baking Goods', 'Baking Goods')
('Radius Wheat Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Horatio Fondue Mix', 'Snack Foods', 'Snack Foods')
('Faux Products Toothpaste', 'Hygiene', 'Health and Hygiene')
('CDR Strawberry Jam', 'Jams and Jellies', 'Baking Goods')
('Modell Bagels', 'Bread', 'Baked Goods')
('High Top Baby Onion', 'Vegetables', 'Produce')
('Cormorant Screw Driver', 'Hardware', 'Household')
('Robust Monthly Home Magazine', 'Magazines', 'Periodicals')
('Imagine Frozen Sausage Pizza', 'Pizza', 'Frozen Foods')
('Even Better Havarti Cheese', 'Dairy', 'Dairy')
('Cormorant Plastic Spoons', 'Plastic Products', 'Household')
('Better Creamed Corn', 'Vegetables', 'Canned Foods')
('Bravo Canned Beets', 'Vegetables', 'Canned Foods')
('High Quality Paper Towels', 'Paper Products', 'Household')
('Denny Tissues', 'Paper Products', 'Household')
('BBB Best Strawberry Jam', 'Jams and Jellies', 'Baking Goods')
('Fort West Dried Dates', 'Snack Foods', 'Snack Foods')
('Ebony Almonds', 'Specialty', 'Produce')
('Super Sesame Oil', 'Baking Goods', 'Baking Goods')
('Medalist Manicotti', 'Starchy Foods', 'Starchy Foods')
('CDR Extra Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Fast Fudge Brownies', 'Snack Foods', 'Snack Foods')
('Denny C-Size Batteries', 'Electrical', 'Household')
('Best Choice Dried Dates', 'Snack Foods', 'Snack Foods')
('Ebony Garlic', 'Vegetables', 'Produce')
('Nationeel Salsa Dip', 'Snack Foods', 'Snack Foods')
('Nationeel Grape Fruit Roll', 'Snack Foods', 'Snack Foods')
('Fort West Frosted Donuts', 'Snack Foods', 'Snack Foods')
('Tell Tale New Potatos', 'Vegetables', 'Produce')
('Imagine Frozen Broccoli', 'Vegetables', 'Frozen Foods')
('Mighty Good Monthly Computer Magazine', 'Magazines', 'Periodicals')
('Ebony New Potatos', 'Vegetables', 'Produce')
('Ebony Cantelope', 'Fruit', 'Produce')
('Sunset Large Sponge', 'Kitchen Products', 'Household')
('Gorilla Muenster Cheese', 'Dairy', 'Dairy')
('Plato Low Fat Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Sunset 60 Watt Lightbulb', 'Electrical', 'Household')
('Cormorant Silver Cleaner', 'Kitchen Products', 'Household')
('Cutting Edge Sliced Turkey', 'Meat', 'Deli')
('Horatio Chocolate Donuts', 'Snack Foods', 'Snack Foods')
('BBB Best Brown Sugar', 'Baking Goods', 'Baking Goods')
('Tell Tale Summer Squash', 'Vegetables', 'Produce')
('Carrington Ice Cream', 'Frozen Desserts', 'Frozen Foods')
('Big City Canned Peaches', 'Fruit', 'Canned Products')
('Carrington Frozen Carrots', 'Vegetables', 'Frozen Foods')
('Fabulous Cranberry Juice', 'Pure Juice Beverages', 'Beverages')
('Pleasant Rice Soup', 'Canned Soup', 'Canned Foods')
('Modell Muffins', 'Bread', 'Baked Goods')
('Ship Shape Seasoned Hamburger', 'Meat', 'Meat')
('Carrington Fajita French Fries', 'Vegetables', 'Frozen Foods')
('Denny Large Sponge', 'Kitchen Products', 'Household')
('Cormorant C-Size Batteries', 'Electrical', 'Household')
('Even Better Large Curd Cottage Cheese', 'Dairy', 'Dairy')
('Washington Diet Soda', 'Carbonated Beverages', 'Beverages')
('Lake Low Fat Cole Slaw', 'Side Dishes', 'Deli')
('Just Right Canned String Beans', 'Vegetables', 'Canned Foods')
('Hilltop HCL Nasal Spray', 'Decongestants', 'Health and Hygiene')
('Big Time Low Fat French Fries', 'Vegetables', 'Frozen Foods')
('Just Right Canned Tuna in Water', 'Canned Tuna', 'Canned Foods')
('Genteel Seasoned Hamburger', 'Meat', 'Meat')
('Fast Chocolate Chip Cookies', 'Snack Foods', 'Snack Foods')
('King Rosy Sunglasses', 'Specialty', 'Carousel')
('Red Spade Sliced Ham', 'Meat', 'Deli')
('Fort West Dried Apples', 'Snack Foods', 'Snack Foods')
('Hilltop Apricot Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Sphinx Bagels', 'Bread', 'Baked Goods')
('Horatio Salsa Dip', 'Snack Foods', 'Snack Foods')
('Club 1\\% Milk', 'Dairy', 'Dairy Drink')
('Hilltop Multi-Symptom Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Hilltop Conditioning Shampoo', 'Bathroom Products', 'Health and Hygiene')
